John,Mary
William,Helen
James,Margaret
George,Anna
Charles,Ruth
Robert,Elizabeth
Joseph,Dorothy
Frank,Marie
Edward,Florence
Thomas,Mildred
Henry,Alice
Walter,Ethel
Harry,Lillian
Willie,Gladys
Arthur,Edna
Albert,Frances
Clarence,Rose
Fred,Annie
Harold,Grace
Paul,Bertha
Raymond,Emma
Richard,Bessie
Roy,Clara
Joe,Hazel
Louis,Irene
Carl,Gertrude
Ralph,Louise
Earl,Catherine
Jack,Martha
Ernest,Mabel
David,Pearl
Samuel,Edith
Howard,Esther
Charlie,Minnie
Francis,Myrtle
Herbert,Ida
Lawrence,Josephine
Theodore,Evelyn
Alfred,Elsie
Andrew,Eva
Elmer,Thelma
Sam,Ruby
Eugene,Agnes
Leo,Sarah
Michael,Viola
Lee,Nellie
Herman,Beatrice
Anthony,Julia
Daniel,Laura
Leonard,Lillie
Floyd,Lucille
Donald,Ella
Kenneth,Virginia
Jesse,Mattie
Russell,Pauline
Clyde,Carrie
Oscar,Alma
Peter,Jessie
Lester,Mae
Leroy,Lena
Ray,Willie
Stanley,Katherine
Clifford,Blanche
Lewis,Hattie
Benjamin,Marion
Edwin,Lucy
Frederick,Stella
Chester,Mamie
Claude,Vera
Eddie,Cora
Cecil,Fannie
Lloyd,Eleanor
Jessie,Bernice
Martin,Jennie
Bernard,Ann
Tom,Leona
Will,Beulah
Norman,Lula
Edgar,Rosa
Harvey,Ada
Ben,Ellen
Homer,Kathryn
Luther,Maggie
Leon,Doris
Melvin,Dora
Philip,Betty
Johnnie,Marguerite
Jim,Violet
Milton,Lois
Everett,Daisy
Allen,Anne
Leslie,Sadie
Alvin,Susie
Victor,Nora
Marvin,Georgia
Stephen,Maude
Alexander,Marjorie
Jacob,Opal
Hugh,Hilda
Patrick,Velma
Virgil,Emily
Horace,Theresa
Glenn,Charlotte
Oliver,Inez
Morris,Olive
Vernon,Flora
Archie,Della
Julius,Lola
Gerald,Jean
Maurice,Effie
Sidney,Nancy
Marion,Nettie
Otis,Sylvia
Vincent,May
Guy,Lottie
Earnest,Alberta
Wilbur,Eunice
Gilbert,Sallie
Willard,Katie
Ed,Genevieve
Roosevelt,Estelle
Hubert,Lydia
Manuel,Loretta
Warren,Mable
Otto,Goldie
Alex,Eula
Ira,Rosie
Wesley,Lizzie
Curtis,Vivian
Wallace,Verna
Lonnie,Ollie
Gordon,Harriet
Isaac,Lucile
Jerry,Addie
Charley,Marian
Jose,Henrietta
Nathan,Jane
Max,Lela
Mack,Essie
Rufus,Caroline
Arnold,Ora
Irving,Iva
Percy,Sara
Bill,Maria
Dan,Madeline
Willis,Rebecca
Bennie,Wilma
Jimmie,Etta
Orville,Barbara
Sylvester,Rachel
Rudolph,Kathleen
Glen,Irma
Nicholas,Christine
Dewey,Geneva
Emil,Sophie
Roland,Juanita
Steve,Nina
Calvin,Naomi
Mike,Victoria
Johnie,Amelia
Bert,Erma
August,Mollie
Clifton,Susan
Franklin,Flossie
Matthew,Ola
Emmett,Nannie
Phillip,Norma
Wayne,Sally
Edmund,Olga
Abraham,Alta
Nathaniel,Estella
Marshall,Celia
Dave,Freda
Elbert,Isabel
Clinton,Amanda
Felix,Frieda
Alton,Luella
Ellis,Matilda
Nelson,Janie
Amos,Fern
Clayton,Cecelia
Aaron,Audrey
Perry,Winifred
Adam,Elva
Tony,Ina
Irvin,Adeline
Jake,Leola
Dennis,Hannah
Jerome,Geraldine
Mark,Amy
Cornelius,Allie
Ollie,Miriam
Douglas,Isabelle
Pete,Bonnie
Ted,Virgie
Adolph,Sophia
Roger,Cleo
Jay,Jeanette
Roscoe,Nell
Juan,Eliza
JOHN,MARY
WILLIAM,MARGARET
GEORGE,DORIS
THOMAS,DOROTHY
JAMES,KATHLEEN
ARTHUR,FLORENCE
FREDERICK,ELSIE
ALBERT,EDITH
CHARLES,ELIZABETH
ROBERT,WINIFRED
EDWARD,GLADYS
JOSEPH,ANNIE
ERNEST,ALICE
ALFRED,PHYLLIS
FRANK,HILDA
HENRY,LILIAN
LESLIE,IVY
HAROLD,MARJORIE
HARRY,ETHEL
LEONARD,VIOLET
RONALD,IRENE
STANLEY,EDNA
WALTER,VERA
REGINALD,ELLEN
HERBERT,LILY
RICHARD,OLIVE
ERIC,EILEEN
NORMAN,EVELYN
CYRIL,JOAN
JACK,ROSE
SIDNEY,SARAH
DAVID,NELLIE
KENNETH,BEATRICE
FRANCIS,MABEL
WILFRED,MAY
SAMUEL,CATHERINE
SYDNEY,FRANCES
PATRICK,EMILY
MICHAEL,ADA
BERNARD,JESSIE
DONALD,MURIEL
PETER,GRACE
HORACE,AGNES
PERCY,CONSTANCE
CLIFFORD,GWENDOLINE
CECIL,GERTRUDE
FRED,NORA
MAURICE,EVA
VICTOR,JOYCE
EDWIN,NANCY
RAYMOND,JANE
PHILIP,FREDA
ALEXANDER,BARBARA
GORDON,DAISY
GEOFFREY,ANNE
DENNIS,NORAH
DOUGLAS,AMY
ALAN,IRIS
DANIEL,DORA
RALPH,HELEN
HUGH,LUCY
LAWRENCE,RUTH
BENJAMIN,MARION
ROY,MAUD
EDGAR,BETTY
CHRISTOPHER,MINNIE
ANDREW,ELEANOR
STEPHEN,RUBY
DENIS,IDA
GERALD,HANNAH
HUBERT,LILLIAN
GILBERT,ANN
IVOR,LOUISA
TOM,BESSIE
ARNOLD,JEAN
ANTHONY,CLARA
BERTRAM,MARIE
LEWIS,DOREEN
LOUIS,EMMA
EDMUND,MILDRED ISABELLA
LIONEL,SYLVIA
COLIN,ESTHER
ROLAND,MARTHA
ALEC,BERTHA
MATTHEW,AUDREY
MARTIN,LAURA
LAURENCE,MARGERY
ARCHIBALD,ROSINA
ALLAN,MARIA
CLARENCE,JANET
VINCENT,BRIDGET
BASIL,BERYL
PAUL,ENID
PERCIVAL,JOSEPHINE
HOWARD,CHARLOTTE
EVAN,KATE
CLAUDE,AMELIA
OWEN,PATRICIA
PHILLIP,MILLICENT
TREVOR,
BERTIE,MILDRED
MARK,ISABELLA
HECTOR,HARRIET
OLIVER,CAROLINE
MORRIS,ELIZA
JESSE,FANNY
,LYDIA
,BLANCHE
,MIRIAM
,RACHEL
,ELLA
,CHRISTINA